prefixo,nome,transmissao,valor_leitura_plu,valor,intervalo
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.4,18.607,2019-02-17 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.0,2019-02-18 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.0,2019-02-19 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,37.0,6.208,2019-02-20 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,30.2,20.728,2019-02-21 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,16.0,9.226,2019-02-22 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,1.6,3.796,2019-02-23 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.478,2019-02-24 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,7.6,0.26,2019-02-25 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,36.8,11.611,2019-02-26 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.4,3.381,2019-02-27 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,40.4,17.26,2019-02-28 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.0,2019-01-31 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.0,2019-02-01 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.0,2019-02-02 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.2,0.019,2019-02-03 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,65.0,12.264,2019-02-04 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.2,0.229,2019-02-05 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,47.6,18.689,2019-02-06 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,13.135,2019-02-07 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.0,2019-02-08 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.0,2019-02-09 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.0,2019-02-10 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.0,2019-02-11 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,10.6,1.683,2019-02-12 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,3.4,4.192,2019-02-13 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.272,2019-02-14 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,47.8,6.847,2019-02-15 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,54.2,29.038,2019-02-16 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.4,16.943,2019-02-17 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.0,2019-02-18 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.0,2019-02-19 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,34.8,5.836,2019-02-20 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,32.2,21.15,2019-02-21 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,12.2,11.156,2019-02-22 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,3.0,5.055,2019-02-23 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.979,2019-02-24 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,8.0,0.296,2019-02-25 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,35.8,11.725,2019-02-26 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.4,3.607,2019-02-27 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,46.0,19.924,2019-02-28 00:00:00 UTC
1000400,CÓRREGO CHRYSLER,WEBSERVICE,0.0,0.0,2019-01-31 00:00:00 UTC
