prefixo,nome,transmissao,valor_leitura_plu,valor,intervalo
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,1.2,0.692,2019-03-01 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,2.0,1.471,2019-03-02 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,12.0,6.462,2019-03-03 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,1.0,0.608,2019-03-04 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,4.2,2.51,2019-03-05 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,25.6,8.059,2019-03-06 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,25.6,25.6,2019-03-07 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-03-17 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-03-18 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-03-29 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-03-30 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-03-31 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,40.4,18.91,2019-02-28 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,2.2,12.765,2019-03-01 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,2.2,0.847,2019-03-02 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,6.0,2.195,2019-03-03 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,3.6,1.116,2019-03-04 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,3.6,1.426,2019-03-05 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,22.0,8.054,2019-03-06 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,18.0,12.2,2019-03-07 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,5.375,2019-03-08 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.0,2019-03-09 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,113.6,11.16,2019-03-10 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,33.8,42.561,2019-03-11 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.358,2019-03-12 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.0,2019-03-13 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,5.8,1.415,2019-03-14 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,1.2,1.606,2019-03-15 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,4.0,0.437,2019-03-16 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.0,2019-03-17 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.2,0.18,2019-03-18 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,15.6,4.828,2019-03-19 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,3.4,5.685,2019-03-20 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.239,2019-03-21 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.4,0.047,2019-03-22 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.06,2019-03-23 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.0,2019-03-24 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.0,2019-03-25 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.0,2019-03-26 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.0,2019-03-27 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.0,2019-03-28 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,5.4,2.021,2019-03-29 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,1.613,2019-03-30 00:00:00 UTC
1000370,Ribeirão dos Couros - Piraporinha Casa Grande,WEBSERVICE,0.0,0.0,2019-03-31 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,46.0,21.807,2019-02-28 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,2.2,14.404,2019-03-01 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,2.8,1.146,2019-03-02 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,8.2,2.949,2019-03-03 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,4.6,3.284,2019-03-04 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,2.6,2.033,2019-03-05 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,24.0,8.868,2019-03-06 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,22.0,14.951,2019-03-07 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,6.569,2019-03-08 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.0,2019-03-09 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,134.2,14.229,2019-03-10 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,21.4,45.335,2019-03-11 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.299,2019-03-12 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,0.0,2019-03-13 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,4.8,0.606,2019-03-14 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,1.2,1.688,2019-03-15 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,13.8,2.738,2019-03-16 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,13.6,8.846,2019-03-17 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,4.061,2019-03-18 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,20.4,4.611,2019-03-19 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.8,6.213,2019-03-20 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,8.6,2.367,2019-03-21 00:00:00 UTC
1000380,RIBEIRÃO DOS COUROS - VILA ROSA,WEBSERVICE,0.0,1.254,2019-03-22 00:00:00 UTC
